fixed,fixed,contents,calculated,dc.title.alternative,dc.contributor.author,dc.contributor,fixed,dc.subject,pls.person,pls.organization,dc.coverage.spatial,fixed,dc.dateOriginal,dc.date.issued,dc.publisher,pls.publicationPlace,dcterms.abstract,dc.description,fixed,fixed,fixed,dcterms.extent,dc.language.iso,,fixed,fixed,fixed,fixed
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2487-001.tif;701-151-005-2487-002.tif,701-151-005-2487-001,General Bohusz-Szyszko among Polish soldiers in France,,,Author,World War (1939-1945),"Bohusz-Szyszko, Zygmunt",Poland. Polskie Siły Zbrojne,Plougastel-Daoulas,1939/1945,1940,,,,General Bohusz-Szyszko is standing in front of a crowd of soldiers.,,still image,photographs,black-and-white photographs,9x7 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2579-001.tif;701-151-005-2579-002.tif,701-151-005-2579-001,Polish Soliders' Day in Scotland,,,Author,World War (1939-1945);Święto Wojska Polskiego;Mass,,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,1942-08-15,,"Republic of Poland, Ministry of Information, Photo Service, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad",,A group of soldiers in their gear celebrate Polish Soldiers' day. The soldiers attend an outdoor mass in Scotland to celebrate the Day of the Assumption of the Virgin Mary.,"Censorship numbers: 216478, 216481;Numbers on the back: 235, 236",still image,photographs,black-and-white photographs,10x13 cm; 13x17 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2486-001.tif,701-151-005-2486-001,The Signing of Warsaw's Capitulation (Starzyński),,,Author,"World War (1939-1945);Capitulations, Military;Siege of Warsaw (Poland : 1939)","Starzyński, Stefan",Poland. Polskie Siły Zbrojne,Poland--Warsaw,1939/1945,1939-09-28,,,,"The surrender of the city of Warsaw after a month's defense. Fourth from the left is seen Major Starzynski, Chief of the defense of Warsaw.",P. 11;PM21-20,still image,photographs,black-and-white photographs,16x21cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2480-001.tif,701-151-005-2480-001,Civilians by a Dead Horse,,,Author,"World War (1939-1945);Siege of Warsaw (Poland : 1939);Horses;Bombing, Aerial;Civilian war casualties",,,Poland--Warsaw,1939/1945,1939,,"Republic of Poland, Ministry of Information, Photo Service, Polish Government Information Center",,All that was left of a horse after German bombers had passed over Warsaw. Three people are looking over the remains of the horse.,Numbers on the back: 19433-16,still image,photographs,black-and-white photographs,21x26 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2472-001.tif,701-151-005-2472-001,Victims of a village bombing,,,Author,World War (1939-1945);Bombardment;Civilian war casualties,,,Poland,1939/1945,1939-09,,Republic of Poland Ministry of Information Photo Service,,September 1939. After the bombardment of a Polish village. Two women are looking at the bodies of the victims.,Numbers on back: 19433-27,still image,photographs,black-and-white photographs,17x22 cm,,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2573-001.tif,701-151-005-2573-001,General Haller awards Polish military decorations to wounded Canadian soldiers,,,Author,World War (1939-1945);Military decorations;Armed Forces--Officers;Military hospitals,"Caron, Louis;Haller, Józef",Poland. Polskie Siły Zbrojne;Canada. Canadian Army,"England, Southern",1939/1945,1945-04-04,,,,"Polish military officials visited a Canadian hospital in Southern England on April 4th, 1945. There, they invested Canadian army personnel with Polish awards for valour. General Józef Haller of Poland decorates Lieut. Louis Caron of Montreal with the Polish Cross of Valour at a Canadian Army Hospital in Southern England.",,still image,photographs,black-and-white photographs,16x11cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2574-001.tif;701-151-005-2574-002.tif;701-151-005-2574-003.tif;701-151-005-2574-004.tif,701-151-005-2574-001,General Duch Decorates Soldiers (Scotland),,,Author,World War (1939-1945);Military decorations,"Duch, Bolesław Bronisław","Poland. Polskie Siły Zbrojne. Dywizja Pancerna, 1;Poland. Polskie Siły Zbrojne. Dywizja Grenadierów, 1",Scotland,1939/1945,1942-08-15,,"Republic of Poland, Ministry of Information, Photo Service, Światowy Związek Polaków z Zagranicy, World League of Poles Abroad",,General Duch decorates Polish soldiers in Scotland. The Polish soldiers and officers are part of the First Grenadiers' Division and Armoured Divisions.,"Numbers on the back: 239/216479;Numbers on the back: 240/216476;Censorship numbers: 216480, 216476, 216479, 216474;Numbers: 237, 240, 239, 238",still image,photographs,black-and-white photographs,10x13 cm; 12x17cm; 12x17 cm; 17x12cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2597-001.tif;701-151-005-2597-002.tif,701-151-005-2597-001,Victory in Europe Day in London,,,Author,World War (1939-1945);V-E Day (1945),,Poland. Polskie Siły Zbrojne,England--London,1939/1945,1945-05-08,,,,"London remembers with gratitude the part played by Polish Forces in the Battle of Britain and the ultimate victory in Europe by flying Polish flags on Victory in Europe Day. On photo number 2, in the background, The Grosvenor House hotel.","Numbers on the back: 20613, 20614",still image,photographs,black-and-white photographs,12x17 cm; 12x17 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2488-001.tif;701-151-005-2488-002.tif;701-151-005-2488-003.tif,701-151-005-2488-001,General Sikorski and President Raczkiewicz visiting the Polish Army in France,,,Author,World War (1939-1945);Military training camps,"Raczkiewicz, Władysław;Sikorski, Władysław",Poland. Polskie Siły Zbrojne,France,1939/1945,1940-05-03,,"Polish War Relief, Polish American Council of the United States of America, Republic of Poland, Ministry of Information, Photo Service",,President Rackiewicz visits a Polish Army training camp in France. The President passes in front of the company of honor.,Visa de la censure N: 087694,still image,photographs,black-and-white photographs,10x16 cm; 13x18 cm; 13x16 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2612-001.tif;701-151-005-2612-002.tif,701-151-005-2612-001,General Sikorski Celebrating Christmas Eve in Scotland,,,Author,World War (1939-1945);Christmas,"Sikorski, Władysław",Poland. Polskie Siły Zbrojne,Scotland,1939/1945,1941-12-24,,,,General Sikorski accompanied by British and Polish officers celebrates Christmas Eve in a Scottish military training camp. The officers treat themselves to a Polish borscht.,,still image,photographs,black-and-white photographs,7x10 cm; 7x10 cm,pl,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2512-001.tif,701-151-005-2512-001,General Anders in a Parachuting Brigade in Scotland,,,Author,World War (1939-1945);Parachute troops,"Anders, Władysław","Great Britain. Army. Polish Parachute Brigade, 1st",Scotland,1939/1945,,1944,"Republic of Poland, Ministry of Information, Photo Service",,General Anders in Scotland with Polish paratroopers in 1944. General Anders is shaking hands with one of the paratroopers.,"Numbers on the back: 36346/5 H.T.;Censorship no. 197660;No. 664;Numbers on the back: 64, 22",still image,photographs,black-and-white photographs,12x17 cm,,,TBD,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2534-001.tif,701-151-005-2534-001,President Raczkiewicz Visiting the Polish Army in England,,,Author,World War (1939-1945);Presidents,"Raczkiewicz, Władysław",Poland. Polskie Siły Zbrojne,England,1939/1945,,1942,"Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Republic of Poland, Ministry of Information, Photo Service",,The Polish Armed Forces in England are visited by President Raczkiewicz during the summer of 1942. The President observes fellow troops in the field.,,still image,photographs,black-and-white photographs,10x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2617-001.tif,701-151-005-2617-001,A Soldier Draws a Portrait of Winston Churchill,,,Author,World War (1939-1945);Drawing;Portraits;Soldiers--Recreation,"Winston, Churchill",Poland. Polskie Siły Zbrojne,,1939/1945,,,"Polish War Relief, Polish American Council of the United States of America",,"A soldier is drawing a portrait of Winston Churchill. He utilizes an easel, a pencil, and canvas for the portrait. The soldier draws while two fellow soldiers overlook him.","Numbers on the back: 6C, 4",still image,photographs,black-and-white photographs,16x11cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2624-001.tif;701-151-005-2624-002.tif;701-151-005-2624-003.tif;701-151-005-2624-004.tif;701-151-005-2624-005.tif,701-151-005-2624-001,Polish Soldiers Dancing (Scotland),,Central Press Photos Ltd.,Author,World War (1939-1945);Mazurkas;Folk dancing;Armies--Uniforms,,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,,"Światowy Związek Polaków z Zagranicy, World League of Poles Abroad, Central Press Photos LTD.",,"A bonfire organized for the Polish soldiers. President and Commander-in-Chief Raczkiewicz is present at the bonfire. The Polish soldiers are dancing the ""Scottish Mazurek"" with Scottish women. The soldiers are dressed in their army uniforms whereas the women are dress in the Polish national outfit.","Copyright Mgr. Konwiński, Scotland 1940.;To my dear to recall You the Capitans Kalenkiewicz play ""From Scotland to Poland"";""Trojak"" dance;Post Card, Correspondence, Address Only;Copryright Mgr. Konwinski Scotland 1940;Numbers on the back: 1030, 5, 20698",still image,photographs,black-and-white photographs,21x26 cm;20x21 cm; 9x14 cm; 10x14 cm; 20x25 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2618-001.tif,701-151-005-2618-001,Military Cinema in Scotland,,,Author,World War (1939-1945);Trucks;Motion pictures;Soldiers--Recreation,,,Scotland,1939/1945,,,,,"The cinema unit of the Polish Army. The members of the unit are standing in front of their truck. The following words are written on the driver's door of the truck: ""Refugees of England, 511 Fifth Ave, New York.""",,still image,photographs,black-and-white photographs,17x22 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2619-001.tif,701-151-005-2619-001,Polish Soldiers Play Checkers (Scotland),,,Author,World War (1939-1945);Checkers;Checker players;Soldiers--Recreation,,Poland. Polskie Siły Zbrojne,Scotland,1939/1945,,,"Polish Information Center, Republic of Poland, Ministry of Information, Photo Service",,Polish soldiers enjoy a game of checkers. Two other soldiers watch the game.,Censorship No. 215163;No.748,still image,photographs,black-and-white photographs,17x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2656-001.tif;701-151-005-2656-002.tif,701-151-005-2656-001,Soldiers Rolling and Smoking Cigarettes,,,Author,World War (1939-1945);Smoking;Tobacco,,Poland. Polskie Siły Zbrojne,,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,"During their breaks, soldiers would roll cigarettes together and smoke them.",A/Z;Censorship No. 207368;Censorship No. 163485;No. 511;No.728,still image,photographs,black-and-white photographs,13x17 cm; 13x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2855-001.tif,701-151-005-2855-001,General Sosnkowski on the ORP Błyskawica,,,Author,World War (1939-1945);Operation Overlord,"Sosnkowski, Kazimierz",Poland. Polskie Siły Zbrojne;Błyskawica (Destroyer);Destroyer (Ship),England--London,1939/1945,,1944-6,,,"The Commander-in-Chief on the bridge of ORP ""Błyskawica"" talking with the Commanding Officer and the Naval Attaché in London, on the way to Normandy.","Numbers on the back: A-13-3, 2, 71, II;N. wd. 1080;cens. 334775",still image,photographs,black-and-white photographs,12x16 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2683-001.tif;701-151-005-2683-002.tif,701-151-005-2683-001,"General Sikorski- Briefing of the Generals (Anders, Klimecki, Modelski)",,,Author,"World War (1939-1945);Briefing, Military;Generals","Anders, Władysław;Sikorski, Władysław;Modelski, Izydor;Klimecki, Tadeusz",Poland. Polskie Siły Zbrojne,England--London,1939/1945,,1942,"Republic of Poland, Ministry of Information, Photo Service, Polish Information Center",,"The photos show Generals Sikorski, Modelski, Anders, and Klimecki at a military briefing.","Censorship No. 196437;No. 108, No. 662;Numbers on the back: 108, 34, II, 4, 3, 25",still image,photographs,black-and-white photographs,12x17 cm; 12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2577-001.tif,701-151-005-2577-001,General Sosnowski Decorates the Norwegian Soldiers,,,Author,World War (1939-1945);Military Decorations;Krzyż Zasługi;Armies--Officers,"Kopański, Stanisław;Sosnkowski, Kazimierz;Hagle, John Thoralf;Günther-Schwarzburg, Władysław",Poland. Polskie Siły Zbrojne,England--London,1939/1945,,1944-06-05,,,"The Polish Commander-in-Chief, General Sosnkowski, decorated two Norwegian Army Officers with the Polish Cross of Merit with Swords, at a ceremony on June 5th, 1944, at the Polish Army Headquarters in London. General Sosnkowski, with members of the Polish Armed Forces and the two Norwegian officers wearing their decorations after the ceremony.","Numbers on the back: 2598-2, 25, I",still image,photographs,black-and-white photographs,16x21cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2621-001.tif,701-151-005-2621-001,Soldiers Playing on their Instruments,,,Author,World War (1939-1945);Tuba;Banjo;Drum;Accordion;Violin;Bands (Music);Soldiers--Recreation,,Poland. Polskie Siły Zbrojne,,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,The photo shows a band formed by the Polish soldiers. They holding their instruments and posing for a photo.,"""Music hath Chazms"";Numbers on the back: 3;No. 747;Censorship No. 215168",still image,photographs,black-and-white photographs,14x9 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2661-001.tif;701-151-005-2661-002.tif,701-151-005-2661-001,Polish Soldiers Visiting London,,,Author,World War (1939-1945);Soldiers--Travel;Soldiers--Recreation,,Poland. Polskie Siły Zbrojne,England--London,1939/1945,,,,,"Allied Olders Like London and London Likes Them. Any day or any evening in London's streets, hotels, or cafes, strange tongues can be heard. The Allies are on leave seeing the town. Sometimes London finds it hard to recognise them in their khaki battle dress or Royal Air Force blue and has to glance at the small distinguishing tabs they wear on each shoulder. Anyway, whether they are in British uniforms or not, London treats them as its own Sons. Yes, London likes these men who fight on even though their homes are in German hands, and they like London. The Victoria Memorial provides a background for Polish soldiers seeing London.","D9a 18;Numbers on the back: D9a 18, D9a 20, P 1A2, 5",still image,photographs,black-and-white photographs,21x26 cm; 21x26 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2651-001.tif,701-151-005-2651-001,Recording St. Mary's Trumpet Call in Scotland,,,Author,World War (1939-1945);Bugle calls;Towers;Catholic Church,,Poland. Polskie Siły Zbrojne,Scotland--Cupar,1939/1945,,,,,"Broadcasting the St. Mary's bugle call, which was played everyday at noon from the church towar in Cupar.",,still image,photographs,black-and-white photographs,21x14 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2648-001.tif,701-151-005-2648-001,Polish Soldiers in the Morning,,,Author,World War (1939-1945);Shaving;Military hygiene;Soldiers--Health and hygiene,,Poland. Polskie Siły Zbrojne,,1939/1945,,,"Światowy Związek Polaków z Zagranicy, Republic of Poland, Ministry of Information, Photo Service",,Polish soldiers preparing the day. The soldiers created a getting ready station in the forest by their training camp. The soldiers are shaving and washing their faces or bodies.,,still image,photographs,black-and-white photographs,10x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2573-001.tif,701-151-005-2573-001,General Haller Decorates the Canadians,,,Author,World War (1939-1945);Military Decorations;Soldiers--Wounds and injuries,"Caron, Louis;Józef, Haller",Poland. Polskie Siły Zbrojne;Canada. Canadian Army,"England, Southern",1939/1945,,1945-04-04,,,"Polish military officials visited a Canadian hospital in Southern England on April 4th, 1945, where they invested Canadian army personnel with Polish awards for valour. General Józef Haller of Poland decorates Lieut. Louis Caron of Montreal with the Polish cross of valour at a Canadian army hospital in Southern England.",Numbers on the back: 15,still image,photographs,black-and-white photographs,16x10 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
