,Identifier,Collection_count,Collection_Description_count,Title_count,Personal_Name_count,Corporate_Name_count,Role_count,Description_count,Note_count,Type_count,Genre_count,Form_count,Language_count,Rights_count,Owning_Institution_count,Digital_Format_count,Digital_Origin_count,Time_Period_count,File_Name_count,Subject_Topic_count,Subject_Personal_Name_count,Subject_Corporate_Name_count,Location_count,Publisher_count,Place_of_Publication_count,Extent_count,Date_Created_count,Date_Issued_count
36,701-151-005-2634-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,4,0,1,0,1,0,2,0,0
37,701-151-005-2471-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,0,1,0,1
38,701-151-005-2856-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,3,1,0,0,1,0,1
39,701-151-005-2660-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,1,0,0,0,1,0,0
40,701-151-005-2687-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,3,2,1,1,0,1,0,0
41,701-151-005-2954-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,1,2,1,0,0,1,0,1
42,701-151-005-2596-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,4,2,2,1,1,0,2,0,0
43,701-151-005-2568-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,2,1,0,1,0,1,0,1
44,701-151-005-4901-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,1,1,0,0,1,0,1
45,701-151-005-4953-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,0,0,2,1,0,1,0,1
46,701-151-005-4967-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,0,1,1,0,1,0,1
47,701-151-005-4964-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,3,0,0,1,0,0,1,0,1
48,701-151-005-2946-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,2,1,0,0,1,0,0
49,701-151-005-2953-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,3,1,2,0,1,0,2,0,1
50,701-151-005-2964-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,3,0,2,1,1,0,2,0,0
51,701-151-005-2948-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,3,3,0,1,0,1,0,0
52,701-151-005-2955-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,3,1,0,0,1,0,0
53,701-151-005-4888-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,1,0,0,1,0,1
54,701-151-005-2922-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,1,2,1,1,0,1,0,0
55,701-151-005-4969-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,5,0,0,1,0,0,1,0,1
56,701-151-005-4977-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,0,1,1,0,1,0,1
57,701-151-005-2928-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,1,2,0,1,0,1,0,0
58,701-151-005-4886-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,0,1,0,0,1,0,1
59,701-151-005-2929-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,4,1,2,0,1,0,1,0,0
60,701-151-005-4951-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,0,1,0,1,0,1
61,701-151-005-3075-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,3,5,0,1,1,1,0,3,0,1
62,701-151-005-4950-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,1,1,1,0,1,0,1
63,701-151-005-4970-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,6,0,0,1,1,0,1,0,1
64,701-151-005-4944-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,5,0,0,0,0,0,1,0,1
65,701-151-005-2666-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,1,0,1,0,1,0,0
66,701-151-005-2849-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,4,6,0,2,0,0,0,4,0,0
67,701-151-005-2865-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,1,3,0,1,0,1,0,1
68,701-151-005-2959-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,0,3,1,0,0,1,0,0
69,701-151-005-2846-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,2,0,3,1,0,0,2,0,1
70,701-151-005-2939-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,3,1,2,1,0,0,2,0,0
71,701-151-005-2960-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,0,2,0,1,0,1,0,0
72,701-151-005-2957-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,2,0,0,0,1,0,1
73,701-151-005-2844-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,7,3,2,2,1,1,0,7,0,1
74,701-151-005-2936-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,2,1,1,1,1,0,2,0,0
75,701-151-005-4924-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,0,1,1,0,1,0,1
76,701-151-005-4895-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,1,0,0,1,0,1
77,701-151-005-2834-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,0,4,1,0,0,1,0,1
78,701-151-005-4873-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,2,1,1,1,0,1,0,1
79,701-151-005-2837-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,0,3,0,1,0,1,0,0
80,701-151-005-3099-001,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,3,5,1,1,1,1,0,3,0,1
81,701-151-005-3103-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,0,1,2,1,0,1,0,1
82,701-151-005-2832-001,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,5,2,1,3,0,1,0,5,0,1
83,701-151-005-4989-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,0,0,2,0,0,1,0,1
84,701-151-005-3052-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,0,3,0,0,0,1,0,0
85,701-151-005-4993-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,0,0,1,0,0,1,0,0
86,701-151-005-2852-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,3,1,0,0,1,0,1
87,701-151-005-4986-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,1,0,0,1,0,1
88,701-151-005-2931-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,2,2,0,0,0,1,0,1
89,701-151-005-5000-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,9,0,0,1,0,0,1,0,1
90,701-151-005-4994-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,1,0,0,1,0,1
91,701-151-005-2930-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,3,3,0,1,0,1,0,0
92,701-151-005-2956-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,3,3,1,3,0,1,0,3,0,1
93,701-151-005-2927-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,2,0,1,0,1,0,0
94,701-151-005-2935-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,7,2,1,0,0,1,0,0
95,701-151-005-4946-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,0,0,0,1,0,1,0,1
96,701-151-005-4990-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,9,0,0,1,0,0,1,0,1
97,701-151-005-2567-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,6,0,1,1,0,0,2,0,0
98,701-151-005-3023-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,3,0,0,0,1,0,0
99,701-151-005-4945-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,1,1,0,1,0,1
100,701-151-005-2950-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,1,2,1,0,0,1,0,0
101,701-151-005-2945-001,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,2,1,0,0,1,0,0
102,701-151-005-4931-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,1,1,0,0,1,0,1
103,701-151-005-2829-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,3,3,0,2,1,1,0,3,0,1
104,701-151-005-2934-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,3,1,3,1,1,0,1,0,0
105,701-151-005-2780-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,1,1,0,1,0,1,0,0
106,701-151-005-3094-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,3,4,0,1,1,1,0,3,0,0
107,701-151-005-4949-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,1,1,0,0,1,0,1
108,701-151-005-2897-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,2,0,1,0,1,0,0
109,701-151-005-2915-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,3,0,1,1,1,0,2,0,0
110,701-151-005-4992-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,0,1,2,0,0,1,0,1
111,701-151-005-2872-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,0,2,0,0,0,1,0,0
112,701-151-005-2522-002,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,4,5,0,1,1,1,0,4,0,0
113,701-151-005-2923-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,3,6,1,1,1,1,0,3,0,1
114,701-151-005-2944-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,2,0,0,0,1,0,0
115,701-151-005-2917-001,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,5,2,2,0,0,0,1,0,1
116,701-151-005-2544-003,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,3,5,2,1,1,1,0,3,0,1
117,701-151-005-2926-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,5,2,2,1,0,0,1,0,0
118,701-151-005-4988-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,8,0,2,1,0,0,1,0,1
119,701-151-005-4991-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,8,0,0,1,0,0,1,0,1
120,701-151-005-3084-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,1,1,1,0,1,0,1
121,701-151-005-2509-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,5,0,1,0,1,0,2,0,1
122,701-151-005-4889-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,1,1,1,0,1,0,1
123,701-151-005-4973-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,1,0,0,1,0,1
124,701-151-005-4966-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,0,0,1,1,0,1,0,1
125,701-151-005-4963-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,0,1,1,1,0,1,0,1
126,701-151-005-4955-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,1,1,0,1,0,1
127,701-151-005-3097-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,3,4,0,2,1,1,0,3,0,1
128,701-151-005-3088-001,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,3,6,0,1,1,1,0,3,0,1
129,701-151-005-4954-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,9,0,0,1,1,0,1,0,1
130,701-151-005-4943-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,1,1,0,1,0,1
131,701-151-005-4947-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,9,0,0,1,0,0,1,0,0
132,701-151-005-3101-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,0,1,1,1,0,1,0,1
133,701-151-005-3102-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,1,1,0,0,1,0,1
134,701-151-005-4984-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,0,1,1,0,0,1,0,1
135,701-151-005-3100-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,1,1,1,0,1,0,1
136,701-151-005-4983-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,8,0,0,1,0,0,1,0,1
137,701-151-005-4999-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,9,0,0,1,1,0,1,0,1
138,701-151-005-4987-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,10,0,1,1,1,0,1,0,1
139,701-151-005-2536-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,2,2,1,1,1,0,2,0,0
140,701-151-005-2570-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,4,4,1,0,1,0,2,0,0
141,701-151-005-2569-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,2,1,0,1,0,1,0,1
142,701-151-005-2847-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,3,0,0,0,1,0,0
143,701-151-005-2851-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,0,3,1,0,0,1,0,0
144,701-151-005-3024-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,1,2,0,1,0,1,0,0
145,701-151-005-2850-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,0,3,0,0,0,1,0,0
146,701-151-005-4985-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,1,0,1,0,1,0,1
147,701-151-005-4982-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,0,0,1,1,0,1,0,1
148,701-151-005-4971-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,0,1,0,1,0,1
149,701-151-005-4975-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,0,0,0,1,0,1
150,701-151-005-4935-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,9,0,0,0,0,0,1,0,1
151,701-151-005-4980-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,0,1,1,1,0,1,0,1
152,701-151-005-4968-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,4,0,0,1,0,0,1,0,1
153,701-151-005-4952-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,0,0,0,0,1,0,0
154,701-151-005-4979-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,0,1,1,0,1,0,1
155,701-151-005-4976-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,9,0,0,1,1,0,1,0,1
156,701-151-005-2528-002,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,3,8,0,1,1,1,0,3,0,0
157,701-151-005-2871-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,3,1,2,1,1,0,2,0,0
158,701-151-005-4956-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,1,1,0,0,1,0,1
159,701-151-005-2557-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,1,1,1,0,1,0,0
160,701-151-005-4960-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,10,0,0,1,1,0,1,0,1
161,701-151-005-4940-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,1,1,1,0,1,0,1
162,701-151-005-4958-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,0,0,1,0,1,0,1
163,701-151-005-4974-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,1,1,1,0,1,0,1
164,701-151-005-4932-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,6,0,1,1,0,0,1,0,1
165,701-151-005-2857-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,2,3,1,1,0,1,0,1
166,701-151-005-2476-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,1,1,0,0,1,0,1
167,701-151-005-2477-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,0,1,0,0,1,0,1
168,701-151-005-2479-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,1,1,0,0,1,0,1
169,701-151-005-2481-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,0,1,1,0,0,1,0,1
170,701-151-005-2962-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,3,6,0,3,0,0,0,3,0,0
171,701-151-005-2513-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,2,0,1,0,1,0,0
172,701-151-005-2514-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,2,1,0,0,0,1,0,0
173,701-151-005-2517-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,0,2,0,1,0,1,0,0
174,701-151-005-2673-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,1,1,2,1,1,0,2,0,0
175,701-151-005-2848-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,3,0,2,1,1,0,2,0,1
176,701-151-005-2869-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,2,0,0,0,1,0,0
177,701-151-005-2814-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,0,2,0,1,0,1,0,0
178,701-151-005-3051-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,3,0,0,0,1,0,0
179,701-151-005-2859-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,2,0,1,0,1,0,0
180,701-151-005-2866-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,1,4,1,1,0,1,0,1
181,701-151-005-2968-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,4,0,1,1,0,0,1,0,0
182,701-151-005-2969-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,1,1,1,0,1,0,0
183,701-151-005-2973-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,5,0,1,1,0,0,1,0,0
184,701-151-005-2970-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,1,1,1,0,1,0,0
185,701-151-005-2861-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,3,4,1,2,0,1,0,3,0,1
186,701-151-005-2972-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,7,0,1,1,0,0,1,0,0
187,701-151-005-2971-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,5,0,1,1,1,0,1,0,0
188,701-151-005-2466-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,3,0,0,0,1,0,1,0,1
189,701-151-005-2858-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,2,3,0,0,0,1,0,0
190,701-151-005-2828-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,4,2,0,5,1,0,0,4,0,0
191,701-151-005-2949-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,4,1,2,1,1,0,2,0,0
192,701-151-005-2951-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,5,3,2,2,1,0,0,5,0,1
193,701-151-005-3058-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,2,2,1,1,0,0,2,0,1
194,701-151-005-3062-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,2,1,1,0,0,1,0,1
195,701-151-005-3064-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,4,3,2,1,1,0,2,0,1
196,701-151-005-3069-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,2,1,1,0,1,0,0
197,701-151-005-3070-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,1,2,1,1,0,1,0,1
198,701-151-005-3072-001,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,4,1,1,1,0,0,1,0,1
199,701-151-005-3077-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,2,0,1,1,1,0,1,0,1
200,701-151-005-2931-002,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,4,0,2,1,1,0,1,0,0
201,701-151-005-2937-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,5,1,2,1,1,0,2,0,0
202,701-151-005-2669-001,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,3,4,1,1,1,0,2,0,1
